code,code_type,description,category,common_appeal_argument
150,CARC,Payer deems the information submitted does not support this level of service.,,
151,CARC,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services.,,
152,CARC,"Payer deems the information submitted does not support this length of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
153,CARC,Payer deems the information submitted does not support this dosage.,,
154,CARC,Payer deems the information submitted does not support this day's supply.,,
155,CARC,Patient refused the service/procedure.,,
156,CARC,Flexible spending account payments. Note: Use code 187.,,
157,CARC,Service/procedure was provided as a result of an act of war.,,
158,CARC,Service/procedure was provided outside of the United States.,,
159,CARC,Service/procedure was provided as a result of terrorism.,,
160,CARC,Injury/illness was the result of an activity that is a benefit exclusion.,,
161,CARC,Provider performance bonus,,
162,CARC,"State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation.",,
163,CARC,Attachment/other documentation referenced on the claim was not received.,,
164,CARC,Attachment/other documentation referenced on the claim was not received in a timely fashion.,,
165,CARC,Referral absent or exceeded.,,
166,CARC,These services were submitted after this payers responsibility for processing claims under this plan ended.,,
167,CARC,"This (these) diagnosis(es) is (are) not covered. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
168,CARC,Service(s) have been considered under the patient's medical plan. Benefits are not available under this dental plan.,,
169,CARC,Alternate benefit has been provided.,,
170,CARC,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
171,CARC,"Payment is denied when performed/billed by this type of provider in this type of facility. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
172,CARC,"Payment is adjusted when performed/billed by a provider of this specialty. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
173,CARC,Service/equipment was not prescribed by a physician.,,
174,CARC,Service was not prescribed prior to delivery.,,
175,CARC,Prescription is incomplete.,,
176,CARC,Prescription is not current.,,
177,CARC,Patient has not met the required eligibility requirements.,,
178,CARC,Patient has not met the required spend down requirements.,,
179,CARC,"Patient has not met the required waiting requirements. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
180,CARC,Patient has not met the required residency requirements.,,
181,CARC,Procedure code was invalid on the date of service.,,
182,CARC,Procedure modifier was invalid on the date of service.,,
183,CARC,"The referring provider is not eligible to refer the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
184,CARC,"The prescribing/ordering provider is not eligible to prescribe/order the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
185,CARC,"The rendering provider is not eligible to perform the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
186,CARC,Level of care change adjustment.,,
187,CARC,"Consumer Spending Account payments (includes but is not limited to Flexible Spending Account, Health Savings Account, Health Reimbursement Account, etc.)",,
188,CARC,This product/procedure is only covered when used according to FDA recommendations.,,
189,CARC,'Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service,,
190,CARC,Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay.,,
191,CARC,"Not a work related injury/illness and thus not the liability of the workers' compensation carrier Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF)",,
192,CARC,"Non standard adjustment code from paper remittance. Usage: This code is to be used by providers/payers providing Coordination of Benefits information to another payer in the 837 transaction only. This code is only used when the non-standard code cannot be reasonably mapped to an existing Claims Adjustment Reason Code, specifically Deductible, Coinsurance and Co-payment.",,
193,CARC,"Original payment decision is being maintained. Upon review, it was determined that this claim was processed properly.",,
194,CARC,"Anesthesia performed by the operating physician, the assistant surgeon or the attending physician.",,
195,CARC,Refund issued to an erroneous priority payer for this claim/service.,,
196,CARC,Claim/service denied based on prior payer's coverage determination.,,
197,CARC,Precertification/authorization/notification/pre-treatment absent.,,
198,CARC,Precertification/notification/authorization/pre-treatment exceeded.,,
199,CARC,Revenue code and Procedure code do not match.,,
200,CARC,Expenses incurred during lapse in coverage,,
201,CARC,"Patient is responsible for amount of this claim/service through 'set aside arrangement' or other agreement. (Use only with Group Code PR) At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,
202,CARC,Non-covered personal comfort or convenience services.,,
203,CARC,Discontinued or reduced service.,,
204,CARC,This service/equipment/drug is not covered under the patient's current benefit plan,,
205,CARC,Pharmacy discount card processing fee,,
206,CARC,National Provider Identifier - missing.,,
207,CARC,National Provider identifier - Invalid format,,
208,CARC,National Provider Identifier - Not matched.,,
209,CARC,"Per regulatory or other agreement. The provider cannot collect this amount from the patient. However, this amount may be billed to subsequent payer. Refund to patient if collected. (Use only with Group code OA)",,
210,CARC,Payment adjusted because pre-certification/authorization not received in a timely fashion,,
211,CARC,"National Drug Codes (NDC) not eligible for rebate, are not covered.",,
212,CARC,Administrative surcharges are not covered,,
213,CARC,Non-compliance with the physician self referral prohibition legislation or payer policy.,,
214,CARC,"Workers' Compensation claim adjudicated as non-compensable. This Payer not liable for claim or service/treatment. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF). To be used for Workers' Compensation only",,
215,CARC,Based on subrogation of a third party settlement,,
216,CARC,Based on the findings of a review organization or the payer's findings.,,
217,CARC,Based on payer reasonable and customary fees. No maximum allowable defined by legislated fee arrangement. (Note: To be used for Property and Casualty only),,
218,CARC,"Based on entitlement to benefits. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF). To be used for Workers' Compensation only",,
219,CARC,"Based on extent of injury. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF).",,
220,CARC,The applicable fee schedule/fee database does not contain the billed code. Please resubmit a bill with the appropriate fee schedule/fee database code(s) that best describe the service(s) provided and supporting documentation if required. (Note: To be used for Property and Casualty only),,
221,CARC,"Claim is under investigation. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF). (Note: To be used by Property & Casualty only)",,
222,CARC,"Exceeds the contracted maximum number of hours/days/units by this provider for this period. This is not patient specific. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
223,CARC,"Adjustment code for mandated federal, state or local law/regulation that is not already covered by another code and is mandated before a new code can be created.",,
224,CARC,Patient identification compromised by identity theft. Identity verification required for processing this and future claims.,,
225,CARC,Penalty or Interest Payment by Payer (Only used for plan to plan encounter reporting within the 837),,
226,CARC,"Information requested from the Billing/Rendering Provider was not provided or not provided timely or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,
227,CARC,"Information requested from the patient/insured/responsible party was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,
228,CARC,"Denied for failure of this provider, another provider or the subscriber to supply requested information to a previous payer for their adjudication",,
229,CARC,Partial charge amount not considered by Medicare due to the initial claim Type of Bill being 12X. Usage: This code can only be used in the 837 transaction to convey Coordination of Benefits information when the secondary payer's cost avoidance policy allows providers to bypass claim submission to a prior payer. (Use only with Group Code PR),,
230,CARC,No available or correlating CPT/HCPCS code to describe this service. Note: Used only by Property and Casualty.,,
231,CARC,"Mutually exclusive procedures cannot be done in the same day/setting. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
232,CARC,Institutional Transfer Amount. Usage: Applies to institutional claims only and explains the DRG amount difference when the patient care crosses multiple institutions.,,
233,CARC,Services/charges related to the treatment of a hospital-acquired condition or preventable medical error.,,
234,CARC,"This procedure is not paid separately. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,
235,CARC,Sales Tax,,
236,CARC,This procedure or procedure/modifier combination is not compatible with another procedure or procedure/modifier combination provided on the same day according to the National Correct Coding Initiative or workers compensation state regulations/ fee schedule requirements.,,
237,CARC,"Legislated/Regulatory Penalty. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,
238,CARC,"Claim spans eligible and ineligible periods of coverage, this is the reduction for the ineligible period. (Use only with Group Code PR)",,
239,CARC,Claim spans eligible and ineligible periods of coverage. Rebill separate claims.,,
240,CARC,"The diagnosis is inconsistent with the patient's birth weight. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
241,CARC,Low Income Subsidy (LIS) Co-payment Amount,,
242,CARC,Services not provided by network/primary care providers.,,
243,CARC,Services not authorized by network/primary care providers.,,
244,CARC,Payment reduced to zero due to litigation. Additional information will be sent following the conclusion of litigation. To be used for Property & Casualty only.,,
245,CARC,Provider performance program withhold.,,
246,CARC,This non-payable code is for required reporting only.,,
247,CARC,Deductible for Professional service rendered in an Institutional setting and billed on an Institutional claim.,,
248,CARC,Coinsurance for Professional service rendered in an Institutional setting and billed on an Institutional claim.,,
249,CARC,This claim has been identified as a readmission. (Use only with Group Code CO),,
250,CARC,"The attachment/other documentation that was received was the incorrect attachment/document. The expected attachment/document is still missing. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT).",,
251,CARC,"The attachment/other documentation that was received was incomplete or deficient. The necessary information is still needed to process the claim. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT).",,
252,CARC,"An attachment/other documentation is required to adjudicate this claim/service. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT).",,
253,CARC,Sequestration - reduction in federal payment,,
254,CARC,"Claim received by the dental plan, but benefits not available under this plan. Submit these services to the patient's medical plan for further consideration.",,
255,CARC,The disposition of the related Property & Casualty claim (injury or illness) is pending due to litigation. (Use only with Group Code OA),,
256,CARC,Service not payable per managed care contract.,,
257,CARC,"The disposition of the claim/service is undetermined during the premium payment grace period, per Health Insurance Exchange requirements. This claim/service will be reversed and corrected when the grace period ends (due to premium payment or lack of premium payment). (Use only with Group Code OA)",,
258,CARC,"Claim/service not covered when patient is in custody/incarcerated. Applicable federal, state or local authority may cover the claim/service.",,
259,CARC,Additional payment for Dental/Vision service utilization.,,
260,CARC,Processed under Medicaid ACA Enhanced Fee Schedule,,
261,CARC,The procedure or service is inconsistent with the patient's history.,,
262,CARC,Adjustment for delivery cost. Usage: To be used for pharmaceuticals only.,,
263,CARC,Adjustment for shipping cost. Usage: To be used for pharmaceuticals only.,,
264,CARC,Adjustment for postage cost. Usage: To be used for pharmaceuticals only.,,
265,CARC,Adjustment for administrative cost. Usage: To be used for pharmaceuticals only.,,
266,CARC,Adjustment for compound preparation cost. Usage: To be used for pharmaceuticals only.,,
267,CARC,"Claim/service spans multiple months. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,
268,CARC,The Claim spans two calendar years. Please resubmit one claim per calendar year.,,
269,CARC,"Anesthesia not covered for this service/procedure. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
270,CARC,"Claim received by the medical plan, but benefits not available under this plan. Submit these services to the patient's dental plan for further consideration.",,
271,CARC,Prior contractual reductions related to a current periodic payment as part of a contractual payment schedule when deferred amounts have been previously reported. (Use only with Group Code OA),,
272,CARC,Coverage/program guidelines were not met.,,
273,CARC,Coverage/program guidelines were exceeded.,,
274,CARC,Fee/Service not payable per patient Care Coordination arrangement.,,
275,CARC,"Prior payer's (or payers') patient responsibility (deductible, coinsurance, co-payment) not covered. (Use only with Group Code PR)",,
276,CARC,Services denied by the prior payer(s) are not covered by this payer.,,
277,CARC,"The disposition of the claim/service is undetermined during the premium payment grace period, per Health Insurance SHOP Exchange requirements. This claim/service will be reversed and corrected when the grace period ends (due to premium payment or lack of premium payment). (Use only with Group Code OA)",,
278,CARC,"Performance program proficiency requirements not met. (Use only with Group Codes CO or PI) Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
279,CARC,"Services not provided by Preferred network providers. Usage: Use this code when there are member network limitations. For example, using contracted providers not in the member's 'narrow' network.",,
280,CARC,"Claim received by the medical plan, but benefits not available under this plan. Submit these services to the patient's Pharmacy plan for further consideration.",,
281,CARC,Deductible waived per contractual agreement. Use only with Group Code CO.,,
282,CARC,"The procedure/revenue code is inconsistent with the type of bill. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
283,CARC,Attending provider is not eligible to provide direction of care.,,
284,CARC,Precertification/authorization/notification/pre-treatment number may be valid but does not apply to the billed services.,,
285,CARC,Appeal procedures not followed,,
286,CARC,Appeal time limits not met,,
287,CARC,Referral exceeded,,
288,CARC,Referral absent,,
289,CARC,"Services considered under the dental and medical plans, benefits not available.",,
290,CARC,"Claim received by the dental plan, but benefits not available under this plan. Claim has been forwarded to the patient's medical plan for further consideration.",,
291,CARC,"Claim received by the medical plan, but benefits not available under this plan. Claim has been forwarded to the patient's dental plan for further consideration.",,
292,CARC,"Claim received by the medical plan, but benefits not available under this plan. Claim has been forwarded to the patient's pharmacy plan for further consideration.",,
293,CARC,Payment made to employer.,,
294,CARC,Payment made to attorney.,,
295,CARC,Pharmacy Direct/Indirect Remuneration (DIR),,
296,CARC,Precertification/authorization/notification/pre-treatment number may be valid but does not apply to the provider.,,
297,CARC,"Claim received by the medical plan, but benefits not available under this plan. Submit these services to the patient's vision plan for further consideration.",,
298,CARC,"Claim received by the medical plan, but benefits not available under this plan. Claim has been forwarded to the patient's vision plan for further consideration.",,
299,CARC,The billing provider is not eligible to receive payment for the service billed.,,
300,CARC,"Claim received by the Medical Plan, but benefits not available under this plan. Claim has been forwarded to the patient's Behavioral Health Plan for further consideration.",,
301,CARC,"Claim received by the Medical Plan, but benefits not available under this plan. Submit these services to the patient's Behavioral Health Plan for further consideration.",,
302,CARC,Precertification/notification/authorization/pre-treatment time limit has expired.,,
303,CARC,"Prior payer's (or payers') patient responsibility (deductible, coinsurance, co-payment) not covered for Qualified Medicare and Medicaid Beneficiaries. (Use only with Group Code CO)",,
304,CARC,"Claim received by the medical plan, but benefits not available under this plan. Submit these services to the patient's hearing plan for further consideration.",,
305,CARC,"Claim received by the medical plan, but benefits not available under this plan. Claim has been forwarded to the patient's hearing plan for further consideration.",,
306,CARC,"Type of bill is inconsistent with the patient status. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
307,CARC,"Medicare Maximum Fair Price Standard Default Refund Amount Adjustment. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Usage: To be used only for the Medicare Drug Price Negotiation Program.",,
308,CARC,Payment is adjusted due to contracted funding agreement between the payer and provider.,,
A0,CARC,Patient refund amount.,,
